	article_title
0	Blatant Rip-Off: The Main Character In ‘Ghost Of Tsushima’ Is Clearly Modeled On The Samurai From Japanese History
1	Deal Alert: An Advance Copy Of ‘Cyberpunk 2077’ Is Sitting On The Tracks And The Train Is Still A Good 50 Yards Away
2	Get Excited, Gamers! Activision Shot Down A French Plane Over Icelandic Waters To Start A New War To Set ‘Call Of Duty’ Games In
3	Come On: Someone Just Spray-Painted ‘Gamers Rule’ On The Taj Mahal And, While We Generally Agree, It’s Pretty Messed Up To Deface A Cultural Landmark
4	Brutal: Playstation Has Cancelled The Entire PS5 Game Lineup After @NicoBoy95 Commented ‘No One Cares’ On Their Livestream
5	‘Banjo-Kazooie’ Fans Will Love This: This Man Threw His Bird On The Ground
6	Major Hype: Gamers Have Been Divorcing Their Spouses Because They Aren’t As Beautiful As The Graphics On ‘Unreal Engine 5’
7	Letdown: Naughty Dog Says They Worked So Hard On ‘The Last Of Us II’s Amazing Cutscenes, They Only Had Time To Create A Basic Word Puzzler For Gameplay
8	Major Relief: Blizzard Has Announced That ‘Overwatch’ Players Will Be Able To Carry Over Their Unlocked Skins And Emotes Into The Afterlife
9	Inspiring: CD Projekt Red To Immortalize Programmers Who Died Making ‘Cyberpunk 2077’ As NPCs So They Can Serve CD Projekt Forever
10	Complete Bullshit: Designers Of This Online Shooter Made It So This Guy Died Even Though He Totally Ducked
11	A True Miracle: This Woman Just Gave Birth To A Nintendo Switch
12	Good News, ‘Final Fantasy’ Fans: Looks Like They Made A Bunch Of Those Things
13	Terrifying Implications: Leaked Nintendo Source Code Could Give Terrorists The Ability To Weaponize Kirby
14	Disgusting Bigotry: The Media Is Only Blaming This Bat For Coronavirus Because He’s A Gamer
15	Incredible Security: The Xbox Series X Will Deter Would-Be Burglars By Emitting A Rotting Crab Smell At All Times
16	Nobody Panic: Bulbasaur Found A Gun
17	Major Relief: Microsoft Has Confirmed That The Xbox Series X Will Play Video Games
18	Even Better Than Travis Scott: The Nephew Of An Epic Games Executive Will Be Playing Some Songs On The Oboe For Everyone In ‘Fortnite’
19	Disappointing: Experts Are Now Telling Us That All The Big Kisses We Did To The TV Screen While Princess Zelda Was On Never Got Through To Her
20	A Well-Deserved Break: This ER Nurse Just Finished A 15-Hour Shift And Is About To Get Destroyed In ‘Call Of Duty: Warzone’
21	Silver Lining: ‘The Last Of Us 2’ Has Been Delayed Indefinitely But The ‘Q*bert 50th Anniversary Collection’ Just Released 12 Years Early
22	Having Trouble Finding The Coelacanth In ‘Animal Crossing’? And You Expect Us To Help You, After All You’ve Done? It Would Be Beneath Us To Even Grant You Death, You Dog
23	Innovation FTW: New PS5 Controller Features Third Joystick You Operate With Your Tongue
